asset_i	asset_j	covariance
AAPL	AAPL	0.0035402420552596357
MSFT	AAPL	0.0010188667228380108
GOOGL	AAPL	0.0005947327505492269
AMZN	AAPL	0.0011675353897802319
NVDA	AAPL	0.002230894353463925
META	AAPL	0.0006175771265249902
AAPL	MSFT	0.0010188667228380108
MSFT	MSFT	0.00397188705998032
GOOGL	MSFT	0.0016173178236811789
AMZN	MSFT	0.003004773915102381
NVDA	MSFT	0.0051339104859194256
META	MSFT	0.0034947759014277695
AAPL	GOOGL	0.0005947327505492269
MSFT	GOOGL	0.0016173178236811789
GOOGL	GOOGL	0.004792254200900485
AMZN	GOOGL	0.0028523063958642305
NVDA	GOOGL	0.0026818966210796764
META	GOOGL	0.001943237080533182
AAPL	AMZN	0.0011675353897802319
MSFT	AMZN	0.003004773915102381
GOOGL	AMZN	0.0028523063958642305
AMZN	AMZN	0.004912968078339156
NVDA	AMZN	0.004594425483273929
META	AMZN	0.004713692117844938
AAPL	NVDA	0.002230894353463925
MSFT	NVDA	0.0051339104859194256
GOOGL	NVDA	0.0026818966210796764
AMZN	NVDA	0.004594425483273929
NVDA	NVDA	0.015733668933393827
META	NVDA	0.007178851212742249
AAPL	META	0.0006175771265249902
MSFT	META	0.0034947759014277695
GOOGL	META	0.001943237080533182
AMZN	META	0.004713692117844938
NVDA	META	0.007178851212742249
META	META	0.009007281220624355
